title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
The Shadow over Providence: Enhanced Edition,https://www.drivethrurpg.com/en/product/464579/the-shadow-over-providence-enhanced-edition,42.0,12/20/23,Call of Cthulhu,"Dec 20, 2023",6.99,0,0,0,1,0,PDF,0,1,5
Host and Hostility: Three Regency Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/417681/host-and-hostility-three-regency-call-of-cthulhu-scenarios,105.0,11/24/22,Call of Cthulhu,"Feb 11, 2024",7.99,0,0,0,1,0,PDF,0,1,3
Host and Hostility: Three Regency Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/417681/host-and-hostility-three-regency-call-of-cthulhu-scenarios,105.0,11/24/22,Call of Cthulhu,"Feb 11, 2024",14.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
Host and Hostility: Three Regency Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/417681/host-and-hostility-three-regency-call-of-cthulhu-scenarios,105.0,11/24/22,Call of Cthulhu,"Feb 11, 2024",19.99,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,1,3
Host and Hostility: Three Regency Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/417681/host-and-hostility-three-regency-call-of-cthulhu-scenarios,105.0,11/24/22,Call of Cthulhu,"Feb 11, 2024",22.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,3
Host and Hostility: Three Regency Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/417681/host-and-hostility-three-regency-call-of-cthulhu-scenarios,105.0,11/24/22,Call of Cthulhu,"Feb 11, 2024",27.98,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,1,3
The Last Dance of Lola Montez: A Call of Cthulhu Modern Adventure,https://www.drivethrurpg.com/en/product/455049/the-last-dance-of-lola-montez-a-call-of-cthulhu-modern-adventure,43.0,3/23/24,Call of Cthulhu,"Apr 4, 2024",2.97,0,0,0,1,0,PDF,0,1,2
The Last Dance of Lola Montez: A Call of Cthulhu Modern Adventure,https://www.drivethrurpg.com/en/product/455049/the-last-dance-of-lola-montez-a-call-of-cthulhu-modern-adventure,43.0,3/23/24,Call of Cthulhu,"Apr 4, 2024",6.97,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
The Last Dance of Lola Montez: A Call of Cthulhu Modern Adventure,https://www.drivethrurpg.com/en/product/455049/the-last-dance-of-lola-montez-a-call-of-cthulhu-modern-adventure,43.0,3/23/24,Call of Cthulhu,"Apr 4, 2024",9.94,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,2
Rivers of London: The Roleplaying Game,https://www.drivethrurpg.com/en/product/417715/rivers-of-london-the-roleplaying-game,400.0,11/29/22,Basic Roleplaying,"Aug 24, 2023",29.99,0,0,0,1,0,PDF,0,10,16
Call of Cthulhu Investigator Handbook 7th Edition,https://www.drivethrurpg.com/en/product/167631/call-of-cthulhu-investigator-handbook-7th-edition,288.0,11/30/15,Call of Cthulhu,"Jan 24, 2021",22.95,0,0,0,1,0,PDF,0,5,0
The Solo Investigator's Handbook,https://www.drivethrurpg.com/en/product/266779/the-solo-investigator-s-handbook,95.0,2/15/19,Call of Cthulhu,"Jul 31, 2021",9.99,0,0,0,1,0,PDF,0,1,1
The Solo Investigator's Handbook,https://www.drivethrurpg.com/en/product/266779/the-solo-investigator-s-handbook,95.0,2/15/19,Call of Cthulhu,"Jul 31, 2021",16.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,1,1
The Solo Investigator's Handbook,https://www.drivethrurpg.com/en/product/266779/the-solo-investigator-s-handbook,95.0,2/15/19,Call of Cthulhu,"Jul 31, 2021",26.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,1,1
Inversion: A Modern Call of Cthulhu Scenario,https://www.drivethrurpg.com/en/product/472336/inversion-a-modern-call-of-cthulhu-scenario,214.0,2/27/24,Call of Cthulhu,"Feb 28, 2024",14.95,0,0,0,1,0,PDF and MP3 Bundle,0,2,1
Of Sorrow and Clay,https://www.drivethrurpg.com/en/product/396056/of-sorrow-and-clay,40.0,5/7/22,Call of Cthulhu,"May 4, 2023",4.95,0,0,0,1,0,PDF,0,1,2
Of Sorrow and Clay,https://www.drivethrurpg.com/en/product/396056/of-sorrow-and-clay,40.0,5/7/22,Call of Cthulhu,"May 4, 2023",11.95,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,2
Of Sorrow and Clay,https://www.drivethrurpg.com/en/product/396056/of-sorrow-and-clay,40.0,5/7/22,Call of Cthulhu,"May 4, 2023",16.9,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,2
Branches of Bone - A Viking Age Cthulhu Dark Ages Scenario,https://www.drivethrurpg.com/en/product/405806/branches-of-bone-a-viking-age-cthulhu-dark-ages-scenario,40.0,8/8/22,Call of Cthulhu,"Jan 17, 2023",4.95,0,0,0,1,0,PDF,0,1,1
Branches of Bone - A Viking Age Cthulhu Dark Ages Scenario,https://www.drivethrurpg.com/en/product/405806/branches-of-bone-a-viking-age-cthulhu-dark-ages-scenario,40.0,8/8/22,Call of Cthulhu,"Jan 17, 2023",9.95,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Branches of Bone - A Viking Age Cthulhu Dark Ages Scenario,https://www.drivethrurpg.com/en/product/405806/branches-of-bone-a-viking-age-cthulhu-dark-ages-scenario,40.0,8/8/22,Call of Cthulhu,"Jan 17, 2023",14.9,1,0,1,1,1,"PDF + Softcover, Premium Color Book (8.5"" x 11"")",0,1,1
Cults of Cthulhu,https://www.drivethrurpg.com/en/product/375869/cults-of-cthulhu,366.0,10/30/21,Call of Cthulhu,"Jul 15, 2022",24.99,0,0,0,1,0,PDF,0,2,18
The Things We Leave Behind - An Anthology of Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/191250/the-things-we-leave-behind-an-anthology-of-modern-day-call-of-cthulhu-scenarios,138.0,8/21/16,Call of Cthulhu,"Aug 29, 2016",19.95,0,0,0,1,0,Watermarked PDF,0,5,5
The Things We Leave Behind - An Anthology of Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/191250/the-things-we-leave-behind-an-anthology-of-modern-day-call-of-cthulhu-scenarios,138.0,8/21/16,Call of Cthulhu,"Aug 29, 2016",40.95,0,1,0,0,0,"Hardcover, B&W Book (8.5"" x 11"")",0,5,5
The Things We Leave Behind - An Anthology of Modern Day Call of Cthulhu Scenarios,https://www.drivethrurpg.com/en/product/191250/the-things-we-leave-behind-an-anthology-of-modern-day-call-of-cthulhu-scenarios,138.0,8/21/16,Call of Cthulhu,"Aug 29, 2016",60.9,0,1,0,1,0,"PDF + Hardcover, B&W Book (8.5"" x 11"")",0,5,5
Carnival of Madness: A Call of Cthulhu Scenario for the 1970s,https://www.drivethrurpg.com/en/product/373621/carnival-of-madness-a-call-of-cthulhu-scenario-for-the-1970s,92.0,10/10/21,Call of Cthulhu,"Apr 1, 2023",11.95,0,0,0,1,0,PDF,0,2,3
Carnival of Madness: A Call of Cthulhu Scenario for the 1970s,https://www.drivethrurpg.com/en/product/373621/carnival-of-madness-a-call-of-cthulhu-scenario-for-the-1970s,92.0,10/10/21,Call of Cthulhu,"Apr 1, 2023",24.95,1,0,1,0,1,"Softcover, Premium Color Book (8.5"" x 11"")",0,2,3
Carnival of Madness: A Call of Cthulhu Scenario for the 1970s,https://www.drivethrurpg.com/en/product/373621/carnival-of-madness-a-call-of-cthulhu-scenario-for-the-1970s,92.0,10/10/21,Call of Cthulhu,"Apr 1, 2023",29.95,0,1,1,0,1,"Hardcover, Premium Color Book (8.5"" x 11"")",0,2,3
