title,url,page_count,published_date,system,modified_date,price,softcover,hardcover,premium,pdf,color,product,Greg Stafford,number of authors,number of artists
Dungeons on Demand: Volume One,https://www.drivethrurpg.com/en/product/147040/dungeons-on-demand-volume-one,132.0,4/6/15,5e-compatible,"Sep 20, 2016",11.96,0,0,0,1,0,PDF,0,1,0
Initiative Trackers (For all 319 SRD Monsters),https://www.drivethrurpg.com/en/product/264221/initiative-trackers-for-all-319-srd-monsters,,1/15/19,Dungeons & Dragons,"Jan 18, 2019",3.99,0,0,0,1,0,PDF,0,1,1
Gamemaster's Guide to Swamps and Marshes - over 1000 ideas for gaming in wetland areas,https://www.drivethrurpg.com/en/product/478914/gamemaster-s-guide-to-swamps-and-marshes-over-1000-ideas-for-gaming-in-wetland-areas,20.0,4/26/24,"Any system / system-agnostic, Dungeons & Dragons","Apr 26, 2024",9.99,0,0,0,1,0,PDF,0,1,0
The Baedran Compendium Campaign Setting,https://www.drivethrurpg.com/en/product/473259/the-baedran-compendium-campaign-setting,2535.0,3/7/24,D&D-OGL,"Mar 6, 2024",49.99,0,0,0,1,0,PDF,0,1,2
Ominous Crypt of the Blood Moss,https://www.drivethrurpg.com/en/product/319604/ominous-crypt-of-the-blood-moss,50.0,7/17/20,"Basic/BECMI or OD&D, Other OSR Games, Old-School Essentials","Jan 20, 2021",5.0,0,0,0,1,0,PDF,0,1,0
Ominous Crypt of the Blood Moss,https://www.drivethrurpg.com/en/product/319604/ominous-crypt-of-the-blood-moss,50.0,7/17/20,"Basic/BECMI or OD&D, Other OSR Games, Old-School Essentials","Jan 20, 2021",10.0,1,0,0,0,1,"Softcover, Standard Color Book (5.827"" x 8.268"" (A5))",0,1,0
Ominous Crypt of the Blood Moss,https://www.drivethrurpg.com/en/product/319604/ominous-crypt-of-the-blood-moss,50.0,7/17/20,"Basic/BECMI or OD&D, Other OSR Games, Old-School Essentials","Jan 20, 2021",15.0,0,1,0,0,1,"Hardcover, Standard Color Book (5.827"" x 8.268"" (A5))",0,1,0
Ominous Crypt of the Blood Moss,https://www.drivethrurpg.com/en/product/319604/ominous-crypt-of-the-blood-moss,50.0,7/17/20,"Basic/BECMI or OD&D, Other OSR Games, Old-School Essentials","Jan 20, 2021",15.0,1,0,0,1,1,"PDF + Softcover, Standard Color Book (5.827"" x 8.268"" (A5))",0,1,0
Ominous Crypt of the Blood Moss,https://www.drivethrurpg.com/en/product/319604/ominous-crypt-of-the-blood-moss,50.0,7/17/20,"Basic/BECMI or OD&D, Other OSR Games, Old-School Essentials","Jan 20, 2021",20.0,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (5.827"" x 8.268"" (A5))",0,1,0
Tintagel's D&D Card Template (CORE),https://www.drivethrurpg.com/en/product/139323/tintagel-s-d-d-card-template-core,,10/30/14,5e-compatible,"Oct 1, 2021",5.0,0,0,0,0,0,ZIP File,0,1,1
D&D Master Set (BECMI ed.) (Basic),https://www.drivethrurpg.com/en/product/17167/d-d-master-set-becmi-ed-basic,96.0,8/9/16,"Classic D&D/AD&D, Dungeons & Dragons","Aug 8, 2016",4.99,0,0,0,1,0,Watermarked PDF,0,2,4
Monster Manual (3.5),https://www.drivethrurpg.com/en/product/148765/monster-manual-3-5,320.0,5/5/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",9.99,0,0,0,1,0,Watermarked PDF,0,4,4
Monster Manual (3.5),https://www.drivethrurpg.com/en/product/148765/monster-manual-3-5,320.0,5/5/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",24.99,1,0,0,0,1,"Softcover, Standard Color Book (8.5"" x 11"")",0,4,4
Monster Manual (3.5),https://www.drivethrurpg.com/en/product/148765/monster-manual-3-5,320.0,5/5/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",29.99,0,1,0,0,1,"Hardcover, Standard Color Book (8.5"" x 11"")",0,4,4
Monster Manual (3.5),https://www.drivethrurpg.com/en/product/148765/monster-manual-3-5,320.0,5/5/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",34.98,1,0,0,1,1,"PDF + Softcover, Standard Color Book (8.5"" x 11"")",0,4,4
Monster Manual (3.5),https://www.drivethrurpg.com/en/product/148765/monster-manual-3-5,320.0,5/5/15,"3.5 D&D (official), Official D&D, 3.5","Nov 13, 2018",39.98,0,1,0,1,1,"PDF + Hardcover, Standard Color Book (8.5"" x 11"")",0,4,4
100(+11) Unique Puzzles for 5e!,https://www.drivethrurpg.com/en/product/466220/100-11-unique-puzzles-for-5e,117.0,1/7/24,5e-compatible,"Jan 15, 2024",21.85,0,0,0,1,0,PDF,0,1,0
